Folder	File name	Config name	Run number	Run id	Module	Name	Count	Mean	StdDev	Variance
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1011]	creditMsgDelayTime	8160	8.179983529411777E-8	3.573285788551712E-8	1.276837132666563E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1012]	creditMsgDelayTime	7550	7.920219099337747E-8	3.1904147264594984E-8	1.0178746126809634E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1016]	creditMsgDelayTime	8448	6.966084114583333E-8	2.391286674556898E-8	5.718251959913387E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1017]	creditMsgDelayTime	7877	7.39305789005967E-8	2.915732067104405E-8	8.501493487140926E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1018]	creditMsgDelayTime	9028	7.659632100132919E-8	2.51703099770093E-8	6.33544504338734E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[1020]	creditMsgDelayTime	7571	8.14843653414344E-8	3.525379768501615E-8	1.2428302512160499E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[5]	creditMsgDelayTime	8033	8.141193576496953E-8	3.4890886679956944E-8	1.217373973313597E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[7]	creditMsgDelayTime	7913	7.491792619739668E-8	3.3206739462169545E-8	1.1026875457084082E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[22]	creditMsgDelayTime	8267	8.049388943994195E-8	3.0210604040125775E-8	9.126805964692637E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[23]	creditMsgDelayTime	8337	7.881159265922992E-8	3.296102543077596E-8	1.0864291974482597E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[27]	creditMsgDelayTime	8064	6.719014632936508E-8	2.0473610925937967E-8	4.1916874434668645E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[28]	creditMsgDelayTime	7718	8.074970614148743E-8	3.299461457931772E-8	1.0886445912377254E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[29]	creditMsgDelayTime	7387	7.895243779612833E-8	3.3983525070976457E-8	1.1548799762496852E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[34]	creditMsgDelayTime	8323	8.774894172774242E-8	3.7379279458120965E-8	1.397210532808304E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[38]	creditMsgDelayTime	7704	8.610408463136035E-8	3.452012508659829E-8	1.1916390359943926E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[39]	creditMsgDelayTime	8012	8.237079505741385E-8	3.927603840028754E-8	1.5426071924208614E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[44]	creditMsgDelayTime	7509	8.542301771207883E-8	3.9002727383128934E-8	1.5212127433226756E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[52]	creditMsgDelayTime	7755	8.142241985815601E-8	3.881510602692562E-8	1.5066124558814771E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[54]	creditMsgDelayTime	8207	8.649474302424759E-8	3.914865341771421E-8	1.5326170644203067E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[55]	creditMsgDelayTime	7213	8.734744461389158E-8	3.84436384769007E-8	1.4779133393426398E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[59]	creditMsgDelayTime	8348	7.721234499281266E-8	3.284595283471787E-8	1.0788566176205107E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[62]	creditMsgDelayTime	8252	8.363005792535145E-8	3.279094475612596E-8	1.0752460579993044E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[63]	creditMsgDelayTime	7767	7.978340002574998E-8	3.192936300505122E-8	1.0194842219083336E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[68]	creditMsgDelayTime	7827	8.841885831097485E-8	3.7138803918166185E-8	1.3792907564719961E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170704-23:45:05-4796	Fat_tree.processor[70]	creditMsgDelayTime	8355	8.009493620586487E-8	3.7678839289889033E-8	1.4196949302332854E-15
