Folder	File name	Config name	Run number	Run id	Module	Name	Count	Mean	StdDev	Variance
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[0]	creditMsgDelayTime	7445	7.061355083948961E-8	2.697557853893423E-8	7.27681837510209E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[1]	creditMsgDelayTime	7680	6.909232473958332E-8	2.529295704495405E-8	6.397336760778907E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[2]	creditMsgDelayTime	7460	6.862297050938337E-8	2.2014372381998764E-8	4.846325913733099E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[3]	creditMsgDelayTime	7781	6.855364811720861E-8	2.0607387197670644E-8	4.2466440711472E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[4]	creditMsgDelayTime	7680	7.072550390625E-8	2.295339430495518E-8	5.26858310118749E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[8]	creditMsgDelayTime	7730	6.602080983182406E-8	1.978870458101022E-8	3.9159282899449487E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[9]	creditMsgDelayTime	7168	8.433691741071426E-8	4.8456750004048084E-8	2.3480566209548143E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[10]	creditMsgDelayTime	7680	7.032033723958332E-8	2.243625584028131E-8	5.033855761305571E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[11]	creditMsgDelayTime	7646	7.516474574941147E-8	3.017500602804644E-8	9.105309887926388E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[12]	creditMsgDelayTime	7936	6.958083719758077E-8	2.4126957608109382E-8	5.821100834235071E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[13]	creditMsgDelayTime	7338	7.017886290542382E-8	2.0147964968376314E-8	4.059404923669192E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[14]	creditMsgDelayTime	7666	6.962364414296895E-8	2.3690975153859775E-8	5.612623037408011E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[15]	creditMsgDelayTime	7538	7.74247744759883E-8	3.336750234392292E-8	1.1133902126717018E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[16]	creditMsgDelayTime	7570	7.078668401585204E-8	2.5467878065677308E-8	6.486128131682073E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[17]	creditMsgDelayTime	7689	7.141168812589413E-8	2.9424499122231288E-8	8.658011485941898E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[18]	creditMsgDelayTime	8017	6.482894124984407E-8	1.9021165618612515E-8	3.6180474149068685E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[19]	creditMsgDelayTime	7354	7.587133288006527E-8	2.9237228029859455E-8	8.548155028699994E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[20]	creditMsgDelayTime	7476	6.654882611021937E-8	2.1002334721835537E-8	4.4109806376801863E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-22:06:09-11236	Fat_tree.processor[21]	creditMsgDelayTime	7431	6.958520764365496E-8	2.6048410957035857E-8	6.785197133866256E-16
