Folder	File name	Config name	Run number	Run id	Module	Name	Count	Mean	StdDev	Variance
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1011]	creditMsgDelayTime	7344	7.411797031590427E-8	3.354093691233581E-8	1.1249944489572907E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1012]	creditMsgDelayTime	7251	7.787314742794099E-8	2.9504295869237435E-8	8.705034747395012E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1016]	creditMsgDelayTime	7649	6.39216080533403E-8	1.779608147423099E-8	3.1670051583746736E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1017]	creditMsgDelayTime	7314	7.212597511621559E-8	2.898615602509852E-8	8.401972411113553E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1018]	creditMsgDelayTime	7550	7.084780900662252E-8	2.2276428702172047E-8	4.962392757229545E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[1020]	creditMsgDelayTime	7808	7.158772540983606E-8	2.7964756544290482E-8	7.820276085814373E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[5]	creditMsgDelayTime	7488	7.736288194444444E-8	3.072414565254429E-8	9.439731260787561E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[6]	creditMsgDelayTime	7392	7.052347916666667E-8	3.273491540585433E-8	1.0715746866284392E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[7]	creditMsgDelayTime	7714	6.234338034742028E-8	1.634332748226447E-8	2.671043531925411E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[22]	creditMsgDelayTime	7814	7.031002610698746E-8	2.334142156254483E-8	5.448219605604327E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[27]	creditMsgDelayTime	7904	6.988470723684211E-8	2.764834898528051E-8	7.644312016118618E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[29]	creditMsgDelayTime	7527	7.97663799654578E-8	4.683619842845374E-8	2.193629483229493E-15
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[34]	creditMsgDelayTime	7334	7.13201808017453E-8	2.4999583940037884E-8	6.249791971750002E-16
/hpcsimulator/results/	FatTree-0.vec	FatTree	0	FatTree-0-20170705-19:18:31-22088	Fat_tree.processor[38]	creditMsgDelayTime	7425	7.039228148148148E-8	2.346589406999594E-8	5.506481845042707E-16
